lead_id,name,age,location,property_type,owns_property,income_level,electricity_bill,contacted_before,interested,days_to_respond,bought_panel
6424,Shaurya Verma,34,Kedgaon,Farm,True,High,3000,False,False,22,False
7581,Aditya Naik,46,Bavdhan,Commercial,False,Low,8000,False,False,29,True
4138,Isha Verma,57,Bavdhan,Commercial,False,Low,500,False,True,15,True
9222,Sai Mehta,37,Kothrud,Residential,True,Low,1500,False,True,5,True
5228,Reyansh Verma,25,Bavdhan,Commercial,False,Medium,5000,True,True,15,False
2897,Arjun Pawar,56,Hadapsar,Residential,True,Medium,500,True,True,11,False
5783,Reyansh Singh,38,Kedgaon,Commercial,False,High,3000,True,False,6,False
7565,Krishna Patil,40,Viman Nagar,Farm,False,Medium,8000,False,False,20,True
7654,Tanya Soni,56,Pune,Farm,True,Medium,1500,False,False,21,False
3037,Rupal Mehta,25,Baner,Commercial,True,High,8000,True,False,9,True
6500,Sai Mehta,46,Hinjewadi,Residential,True,Low,1500,False,True,24,False
8024,Shaurya Bhosale,41,Bavdhan,Commercial,True,High,500,True,False,29,True
7608,Tanya Patil,57,Viman Nagar,Farm,False,High,1500,False,False,18,False
7196,Ravi Kumar,45,Bavdhan,Residential,True,High,3000,True,False,25,False
9129,Rupal Thakur,37,Kedgaon,Residential,True,Low,1500,False,False,24,True
5552,Aisha Sharma,43,Bavdhan,Commercial,True,Medium,1500,True,True,8,True
7917,Tanya Kulkarni,57,Hadapsar,Commercial,True,High,500,True,False,21,False
6238,Pooja Singh,41,Aundh,Farm,False,High,1500,False,True,11,False
6844,Arjun Verma,60,Baner,Farm,False,Low,1500,True,True,5,False
7639,Shruti Kumar,55,Aundh,Farm,False,Medium,3000,False,True,16,False
1739,Shaurya Yadav,35,Kothrud,Commercial,True,Low,8000,False,False,30,True
2173,Arjun Kulkarni,33,Bavdhan,Commercial,True,Low,5000,False,True,10,False
7711,Sai Jadhav,40,Shivajinagar,Commercial,False,Low,8000,True,False,5,True
5376,Tanya Thakur,31,Pune,Residential,True,Low,8000,False,False,24,False
8839,Arjun Joshi,32,Pune,Commercial,False,High,1500,False,False,23,True
2792,Yash Chavan,46,Kothrud,Farm,True,High,1500,False,True,14,True
4879,Reyansh Mehta,51,Kedgaon,Commercial,False,Medium,500,False,False,8,True
8324,Krishna Kulkarni,55,Baner,Farm,False,High,500,False,True,6,False
3910,Reyansh Bhosale,43,Hadapsar,Farm,True,Low,5000,False,True,9,False
7103,Krishna Soni,38,Pune,Commercial,False,Low,500,True,True,23,True
9663,Rupal Patil,38,Kedgaon,Residential,False,Low,500,False,True,8,True
2272,Aisha Kulkarni,25,Baner,Residential,True,High,5000,True,True,17,True
2482,Krishna Soni,27,Hinjewadi,Residential,True,High,5000,False,False,5,False
7577,Shruti Mehta,52,Baner,Farm,False,Medium,5000,False,False,7,True
7513,Sai Soni,50,Hadapsar,Residential,True,High,1500,True,True,5,False
2290,Arjun Shetty,36,Hinjewadi,Commercial,False,Low,8000,False,False,4,False
5358,Isha Deshmukh,55,Shivajinagar,Commercial,True,High,1500,True,False,28,True
4609,Riya Reddy,26,Baner,Residential,True,Low,3000,True,False,23,False
5759,Aditya Pawar,52,Bavdhan,Farm,True,Medium,3000,False,True,13,False
9762,Vivaan Naik,56,Hinjewadi,Farm,True,High,1500,True,True,29,True
2832,Pooja Sharma,33,Bavdhan,Farm,False,High,500,True,False,17,False
4389,Aisha Patil,57,Viman Nagar,Farm,True,High,5000,False,True,17,False
8424,Aarav Deshmukh,46,Kothrud,Residential,False,Low,500,False,False,24,True
3231,Shruti Sharma,25,Kothrud,Commercial,False,Low,8000,True,False,4,True
7249,Yash Yadav,56,Shivajinagar,Residential,True,Low,1500,False,True,28,True
6480,Riya Jadhav,51,Hadapsar,Commercial,True,Medium,5000,True,False,21,False
5016,Riya Bhosale,39,Baner,Commercial,False,High,8000,True,True,22,False
3104,Sai Naik,47,Kedgaon,Residential,True,High,3000,False,False,12,True
8077,Tanya Shetty,32,Pune,Farm,True,Medium,5000,True,True,19,False
9673,Aditya Reddy,32,Baner,Commercial,False,Medium,500,True,False,19,True
1534,Madhuri Mehta,54,Kothrud,Residential,True,Medium,1500,False,False,22,True
1406,Shaurya Joshi,45,Viman Nagar,Farm,True,Medium,5000,False,False,1,True
6465,Pooja Reddy,26,Kedgaon,Farm,False,Low,8000,True,False,21,False
1099,Nisha Joshi,51,Shivajinagar,Farm,False,Low,8000,True,True,9,True
4775,Pooja Mehta,45,Viman Nagar,Farm,False,Low,3000,True,False,6,False
3562,Aisha Reddy,33,Pune,Farm,True,High,3000,False,True,9,True
1047,Rupal Singh,46,Shivajinagar,Residential,True,High,5000,True,True,13,True
9851,Vivaan Pawar,31,Viman Nagar,Residential,True,Medium,8000,False,True,18,False
3093,Shaurya Shetty,31,Baner,Farm,True,Medium,500,True,False,5,False
5940,Shruti Patil,53,Baner,Residential,False,High,5000,False,False,8,False
2771,Reyansh Soni,36,Pune,Residential,True,Medium,3000,True,False,1,False
5904,Riya Jadhav,58,Bavdhan,Commercial,True,High,500,True,True,8,True
6259,Isha Gupta,53,Pune,Commercial,False,Medium,5000,True,False,7,True
7261,Arjun Thakur,41,Kedgaon,Commercial,False,High,1500,True,False,14,True
3030,Ravi Singh,60,Kedgaon,Farm,True,Low,3000,True,False,19,True
8401,Rupal Pawar,57,Bavdhan,Farm,True,Low,500,True,False,12,True
3283,Shaurya Gupta,45,Shivajinagar,Farm,True,High,1500,True,False,17,False
4956,Shruti Chavan,36,Shivajinagar,Residential,True,Low,8000,True,False,19,False
5912,Tanya Chavan,48,Shivajinagar,Farm,False,Medium,500,False,True,27,True
7706,Krishna Sharma,29,Bavdhan,Commercial,True,Medium,8000,True,True,2,True
1787,Vivaan Bhosale,33,Hinjewadi,Residential,False,High,8000,False,True,17,False
8025,Madhuri Soni,57,Hinjewadi,Residential,True,High,5000,True,True,26,False
3344,Aditya Sharma,33,Pune,Farm,False,High,8000,True,False,19,True
4529,Krishna Chavan,44,Kothrud,Farm,False,Medium,500,True,False,10,False
1476,Aisha Bhosale,57,Viman Nagar,Residential,False,Medium,5000,False,False,14,False
9413,Madhuri Sharma,42,Aundh,Farm,False,High,500,False,True,24,True
1146,Aarav Joshi,39,Hinjewadi,Commercial,False,Medium,8000,False,False,9,False
